# onet_version=30.3  (O*NET Related Occupations + Occupation Data; public domain / CC-BY 4.0; regenerate with scripts/build_taxonomy_extra.py)
# format: soc_code<TAB>related_soc<TAB>tier<TAB>related_title
11-3012.00	11-9151.00	Supplemental	Social and Community Service Managers
11-3013.00	11-1021.00	Primary-Short	General and Operations Managers
11-3013.00	49-9071.00	Primary-Short	Maintenance and Repair Workers, General
11-3013.00	11-9021.00	Primary-Short	Construction Managers
11-3013.00	37-1011.00	Primary-Short	First-Line Supervisors of Housekeeping and Janitorial Workers
11-3013.00	11-3071.00	Primary-Short	Transportation, Storage, and Distribution Managers
11-3013.00	11-3012.00	Primary-Long	Administrative Services Managers
11-3013.00	11-3051.00	Primary-Long	Industrial Production Managers
11-3013.00	47-4011.00	Primary-Long	Construction and Building Inspectors
11-3013.00	11-9141.00	Primary-Long	Property, Real Estate, and Community Association Managers
11-3013.00	11-3013.01	Primary-Long	Security Managers
11-3013.00	49-1011.00	Supplemental	First-Line Supervisors of Mechanics, Installers, and Repairers
11-3013.00	17-2112.00	Supplemental	Industrial Engineers
11-3013.00	13-1082.00	Supplemental	Project Management Specialists
11-3013.00	47-1011.00	Supplemental	First-Line Supervisors of Construction Trades and Extraction Workers
11-3013.00	53-1043.00	Supplemental	First-Line Supervisors of Material-Moving Machine and Vehicle Operators
11-3013.00	53-1042.00	Supplemental	First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand
11-3013.00	13-1111.00	Supplemental	Management Analysts
11-3013.00	47-1011.03	Supplemental	Solar Energy Installation Managers
11-3013.00	37-1012.00	Supplemental	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers
11-3013.00	51-1011.00	Supplemental	First-Line Supervisors of Production and Operating Workers
11-3013.01	13-1199.07	Primary-Short	Security Management Specialists
11-3013.01	33-1091.00	Primary-Short	First-Line Supervisors of Security Workers
11-3013.01	11-9199.02	Primary-Short	Compliance Managers
11-3013.01	33-9032.00	Primary-Short	Security Guards
11-3013.01	11-9161.00	Primary-Short	Emergency Management Directors
11-3013.01	13-1111.00	Primary-Long	Management Analysts
11-3013.01	13-1199.04	Primary-Long	Business Continuity Planners
11-3013.01	17-2111.00	Primary-Long	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors
11-3013.01	11-3013.00	Primary-Long	Facilities Managers
11-3013.01	19-5011.00	Primary-Long	Occupational Health and Safety Specialists
11-3013.01	15-1299.04	Supplemental	Penetration Testers
11-3013.01	15-1299.05	Supplemental	Information Security Engineers
11-3013.01	15-1212.00	Supplemental	Information Security Analysts
11-3013.01	33-9099.02	Supplemental	Retail Loss Prevention Specialists
11-3013.01	15-1299.06	Supplemental	Digital Forensics Analysts
11-3013.01	11-9199.08	Supplemental	Loss Prevention Managers
11-3013.01	33-3021.06	Supplemental	Intelligence Analysts
11-3013.01	11-3012.00	Supplemental	Administrative Services Managers
11-3013.01	33-9031.00	Supplemental	Gambling Surveillance Officers and Gambling Investigators
11-3013.01	11-3021.00	Supplemental	Computer and Information Systems Managers
11-3021.00	15-1211.00	Primary-Short	Computer Systems Analysts
11-3021.00	13-1082.00	Primary-Short	Project Management Specialists
11-3021.00	15-1252.00	Primary-Short	Software Developers
11-3021.00	15-1299.08	Primary-Short	Computer Systems Engineers/Architects
11-3021.00	13-1111.00	Primary-Short	Management Analysts
11-3021.00	15-1299.09	Primary-Long	Information Technology Project Managers
11-3021.00	15-1243.00	Primary-Long	Database Architects
11-3021.00	15-1241.00	Primary-Long	Computer Network Architects
11-3021.00	15-1299.05	Primary-Long	Information Security Engineers
11-3021.00	15-1242.00	Primary-Long	Database Administrators
11-3021.00	25-1021.00	Supplemental	Computer Science Teachers, Postsecondary
11-3021.00	15-1244.00	Supplemental	Network and Computer Systems Administrators
11-3021.00	15-1212.00	Supplemental	Information Security Analysts
11-3021.00	15-1251.00	Supplemental	Computer Programmers
11-3021.00	15-2051.01	Supplemental	Business Intelligence Analysts
11-3021.00	15-1253.00	Supplemental	Software Quality Assurance Analysts and Testers
11-3021.00	15-2051.00	Supplemental	Data Scientists
11-3021.00	15-1231.00	Supplemental	Computer Network Support Specialists
11-3021.00	15-1232.00	Supplemental	Computer User Support Specialists
11-3021.00	15-1299.03	Supplemental	Document Management Specialists
11-3031.00	13-2011.00	Primary-Short	Accountants and Auditors
11-3031.00	13-2051.00	Primary-Short	Financial and Investment Analysts
11-3031.00	13-2052.00	Primary-Short	Personal Financial Advisors
11-3031.00	13-2041.00	Primary-Short	Credit Analysts
11-3031.00	13-2072.00	Primary-Short	Loan Officers
11-3031.00	13-2054.00	Primary-Long	Financial Risk Specialists
11-3031.00	41-3031.00	Primary-Long	Securities, Commodities, and Financial Services Sales Agents
11-3031.00	11-3031.01	Primary-Long	Treasurers and Controllers
11-3031.00	13-2061.00	Primary-Long	Financial Examiners
11-3031.00	11-3031.03	Primary-Long	Investment Fund Managers
11-3031.00	43-3031.00	Supplemental	Bookkeeping, Accounting, and Auditing Clerks
11-3031.00	43-4041.00	Supplemental	Credit Authorizers, Checkers, and Clerks
11-3031.00	13-1111.00	Supplemental	Management Analysts
11-3031.00	13-2071.00	Supplemental	Credit Counselors
11-3031.00	43-4141.00	Supplemental	New Accounts Clerks
11-3031.00	43-1011.00	Supplemental	First-Line Supervisors of Office and Administrative Support Workers
11-3031.00	43-4011.00	Supplemental	Brokerage Clerks
11-3031.00	13-2031.00	Supplemental	Budget Analysts
11-3031.00	11-3012.00	Supplemental	Administrative Services Managers
